dblp_index,acm_index
53909f8c20f70186a0e3fe6a,53e9bd87b7602d9704a2f764
539087e720f70186a0d68fab,53e99931b7602d97021720a2
539087cf20f70186a0d5b531,53e9ac89b7602d970365fef8
5390962020f70186a0df3f48,53e99a8bb7602d97022fd9b9
5390881220f70186a0d7f82c,53e9b666b7602d97041c780c
5590d1070cf25001c36ef105,53e99b0ab7602d970239c211
53909f8c20f70186a0e3fe94,53e9bb3db7602d9704779b65
558e0e590cf222bc17bc023b,53e99b0ab7602d970239c211
539087d420f70186a0d5df0b,53e9b52db7602d9704064df2
539089ab20f70186a0d96f5c,53e9b6abb7602d970422aac5
539087d420f70186a0d5df61,53e99b1bb7602d97023b2526
53908a7420f70186a0da45e6,53e9a855b7602d970319f23b
53908a7420f70186a0da448c,53e9ad72b7602d970375ed6d
539087f320f70186a0d70a2a,53e9b40eb7602d9703f006b9
53909f8c20f70186a0e401e3,53e9b8f5b7602d97044d7b07
53908a9620f70186a0da487c,53e9ac8fb7602d9703666e4e
53908a9620f70186a0da47ef,53e9aedeb7602d970390bad3
53909f6920f70186a0e3a9a4,53e9be50b7602d9704b0d16a
539087f320f70186a0d6f878,53e999f5b7602d970223e747
53908b2a20f70186a0db9751,53e9abdab7602d9703592e01
5390980720f70186a0e01e3a,53e9ba85b7602d97046a99f2
5390962020f70186a0df3f4b,53e99afeb7602d970238d25a
53908a7420f70186a0da4543,53e9b12ab7602d9703bacfb7
53908b4920f70186a0dbabc2,53e99beab7602d9702493ce9
539095ba20f70186a0df0f0e,53e9ad68b7602d970374f0fd
5390972920f70186a0dfac97,53e9ae63b7602d970387e5fb
539087e720f70186a0d68b6f,53e9a55cb7602d9702e80cc9
53908a9620f70186a0da4e43,53e9b5b6b7602d97040fa1e4
5590e04a0cf25001c36efa09,53e99b0ab7602d970239c219
53908d6520f70186a0dd19ff,53e99c12b7602d97024be997
53909f8c20f70186a0e3fe4c,53e9aa50b7602d97033c1230
53908a9620f70186a0da4ec7,53e9990db7602d970214d36a
53909f8c20f70186a0e3fe95,53e9a52cb7602d9702e4eaeb
539087e720f70186a0d68b69,53e9a699b7602d9702fcd165
53908a7420f70186a0da4670,53e9bb6cb7602d97047ac179
53908a7420f70186a0da4680,53e9b54fb7602d9704085737
53908a7420f70186a0da4531,53e9a635b7602d9702f61c6d
5590dae80cf237666fc294da,53e997e9b7602d9701fe4526
53909f8c20f70186a0e3fe98,53e9b802b7602d97043b82e0
5390975920f70186a0dfe095,53e9afcdb7602d9703a21cb7
53908b4920f70186a0dbabf1,53e9b8dab7602d97044bba1a
558ce80de4b0bb3102a0c8ac,53e99b0ab7602d970239c211
539087e720f70186a0d68414,53e9a67cb7602d9702fae348
53908a9620f70186a0da4e36,53e9b083b7602d9703aee916
53909f8c20f70186a0e3fe92,53e9ab4fb7602d97034df792
539087dd20f70186a0d62b3e,53e99813b7602d970202daba
53909f6920f70186a0e3a962,53e9a848b7602d97031940b0
5590d7e90cf2baaad97172ab,53e99796b7602d9701f5cf1c
53908d6520f70186a0dd1a0c,53e99ffcb7602d97028e082c
53908b2a20f70186a0db974c,53e99ab3b7602d970232f7a7
5390972920f70186a0dfacb3,53e9a675b7602d9702fa8dac
53909f8c20f70186a0e3fe5a,53e9b3d4b7602d9703ebf408
5390980720f70186a0e01e3d,53e9a448b7602d9702d66728
5390979920f70186a0dffb8f,53e9a627b7602d9702f57d83
539087d420f70186a0d5df54,53e9b5a2b7602d97040ea267
539089ab20f70186a0d97058,53e9bbcfb7602d970481e590
53908a9620f70186a0da4ee2,53e9b9dab7602d97045d3160
53908a9620f70186a0da4740,53e9a57db7602d9702ea96d6
53908b4920f70186a0dbabba,53e9bdf6b7602d9704aab9e4
53909f8c20f70186a0e40213,53e9b861b7602d970442b37a
53908a7420f70186a0da45e3,53e9b564b7602d970409cc59
53908a7420f70186a0da4489,53e99b63b7602d97024058ae
539087e720f70186a0d6968c,53e9a516b7602d9702e3b440
539087f320f70186a0d6fe26,53e9984fb7602d970208794b
53908a7420f70186a0da4541,53e9b7a5b7602d970434da9d
53908a7420f70186a0da4547,53e9a555b7602d9702e7d62c
5390882d20f70186a0d8dae3,53e99b6ab7602d970240f7ca
53908a9620f70186a0da4e3f,53e9a2acb7602d9702bb4ec0
539089ab20f70186a0d96f59,53e9b2d2b7602d9703d82c8d
53909f6920f70186a0e3a96a,53e9bb4bb7602d97047886bd
53908a7420f70186a0da466b,53e9b8ccb7602d97044ac4e8
53908b4920f70186a0dbabe4,53e9a122b7602d9702a11fe0
5390979920f70186a0dffb8c,53e99a49b7602d97022acf07
5590d7e90cf2baaad97172ab,53e99796b7602d9701f5cf1b
5390958920f70186a0deec82,53e99d6bb7602d97026235a8
5390882d20f70186a0d8dac8,53e9bb22b7602d970475b376
53908b4920f70186a0dbabd0,53e9a782b7602d97030be58c
5390881820f70186a0d8110d,53e9b577b7602d97040b62bf
5390882d20f70186a0d8dae5,53e9b4a5b7602d9703fb12e1
539087dd20f70186a0d63497,53e9985fb7602d9702096dfe
5390980720f70186a0e01e34,53e9ae1cb7602d970382dc4b
5390880220f70186a0d77f87,53e9bb08b7602d970473fd12
5590d1070cf25001c36ef105,53e99b0ab7602d970239c218
53908a9620f70186a0da4d8e,53e9adfeb7602d970380564e
53908a7420f70186a0da453a,53e9ba64b7602d970467fd48
5390882d20f70186a0d8dba1,53e99ccab7602d970257c485
53908b2a20f70186a0db974f,53e99eb4b7602d970277c41d
539087e120f70186a0d665f9,53e9b55eb7602d97040990b7
5590d2bd0cf2ce4b6f3a033a,53e997e9b7602d9701fe4526
53909f8c20f70186a0e3fe40,53e997e4b7602d9701fdbae1
539087cb20f70186a0d594f4,53e9984fb7602d970208642b
539087fe20f70186a0d758e7,53e9aa6eb7602d97033e467d
558f3abe0cf222bc17bc2263,53e99796b7602d9701f5cf1b
53908a7420f70186a0da4681,53e9a8ffb7602d970325106d
539087cf20f70186a0d5d03a,53e9a366b7602d9702c710cd
539087e720f70186a0d68b7d,53e9a52cb7602d9702e5083b
53908d6520f70186a0dd1a3e,53e9b708b7602d97042a0e42
53909f8c20f70186a0e3fe8b,53e9a1fab7602d9702afc679
53908a7420f70186a0da449b,53e9ba4eb7602d9704662886
539087fe20f70186a0d758e8,53e9aa66b7602d97033d942d
53909f8c20f70186a0e3fe79,53e9a3a5b7602d9702cb4c0c
5590d19e0cf237666fc28f98,53e997e9b7602d9701fe4526
53909f6920f70186a0e3a99d,53e9b0dfb7602d9703b5cb15
5390880d20f70186a0d7cd68,53e9a0f3b7602d97029db9e5
53908a9620f70186a0da47dc,53e9bbfbb7602d970485a317
5390882d20f70186a0d8dae4,53e99dabb7602d97026695ad
539089ab20f70186a0d9705e,53e9bd11b7602d970499c03a
539095ba20f70186a0df0f14,53e99eaeb7602d970277811f
5390975920f70186a0dfe2b6,53e9aabdb7602d970343b0bc
539087d420f70186a0d5df26,53e9b740b7602d97042da0da
539087e720f70186a0d68b76,53e9984bb7602d970207a805
53908a9620f70186a0da4d8b,53e9b7a5b7602d970434d608
53908b4920f70186a0dbabc4,53e9bd46b7602d97049d67ae
539087f320f70186a0d70acf,53e99ae6b7602d970236b9ef
53908a7420f70186a0da452c,53e9b152b7602d9703bd4396
53908b4920f70186a0dbabd5,53e999aeb7602d97021f4833
53909f8c20f70186a0e40219,53e9adffb7602d9703807c1b
539095ba20f70186a0df0f0a,53e9a3f5b7602d9702d0f275
53909f8c20f70186a0e3fe3c,53e9a5a1b7602d9702ecb457
5390962020f70186a0df3f45,53e9a515b7602d9702e350a0
558ce80de4b0bb3102a0c8ac,53e99b0ab7602d970239c218
5390881220f70186a0d7dc03,53e9b59bb7602d97040e14f1
53908a9620f70186a0da472c,53e9b4d4b7602d9703ff2ce5
539087fe20f70186a0d758e6,53e99ed2b7602d970279f3e8
53909f8c20f70186a0e3fe93,53e9adc8b7602d97037d1690
53908a7420f70186a0da44a0,53e99b3cb7602d97023d98ac
5390962020f70186a0df3f4a,53e99a1ab7602d970226cc04
53909f8c20f70186a0e3fe2a,53e9a85cb7602d97031a708b
539087cb20f70186a0d594f5,53e99d21b7602d97025d4bcd
558f35580cf222bc17bc1a3d,53e99b0ab7602d970239c219
539095ba20f70186a0df0f10,53e9a757b7602d970308f864
5390881220f70186a0d7e2b8,53e9984fb7602d9702084ef1
539087f320f70186a0d6fe18,53e9b505b7602d970403963f
5390881220f70186a0d7f830,53e9af33b7602d970396e6ca
